ID,CHOICE,AV_TRAIN,AV_SM,AV_CAR,TRAIN_ASC_1,TRAIN_TT_1,TRAIN_CO_1,SM_ASC_1,SM_TT_1,SM_CO_1,CAR_TT_1,CAR_CO_1
3,2,1,1,1,1.000,0.967,0.320,1.000,0.483,0.350,1.750,0.400
3,2,1,1,1,1.000,0.967,0.290,1.000,0.417,0.380,2.267,0.500
3,2,1,1,1,1.000,0.967,0.320,1.000,0.450,0.400,2.267,0.650
3,2,1,1,1,1.000,0.783,0.290,1.000,0.417,0.380,1.400,0.650
3,2,1,1,1,1.000,0.850,0.320,1.000,0.417,0.360,2.267,0.400
3,2,1,1,1,1.000,0.850,0.380,1.000,0.417,0.420,1.400,0.400
3,2,1,1,1,1.000,0.850,0.290,1.000,0.450,0.320,1.400,0.500
3,2,1,1,1,1.000,0.850,0.320,1.000,0.450,0.400,1.750,0.500
3,2,1,1,1,1.000,0.967,0.380,1.000,0.450,0.420,1.400,0.650
253,2,1,1,0,1.000,3.567,0.740,1.000,1.417,0.820,0.000,0.000
253,2,1,1,0,1.000,3.233,0.740,1.000,1.283,0.800,0.000,0.000
253,2,1,1,0,1.000,4.233,0.740,1.000,1.583,0.990,0.000,0.000
253,2,1,1,0,1.000,3.233,0.620,1.000,1.417,0.860,0.000,0.000
253,2,1,1,0,1.000,4.233,0.560,1.000,1.417,0.640,0.000,0.000
253,1,1,1,0,1.000,3.567,0.560,1.000,1.283,0.800,0.000,0.000
253,2,1,1,0,1.000,3.233,0.740,1.000,1.583,0.990,0.000,0.000
253,1,1,1,0,1.000,3.233,0.560,1.000,1.583,0.660,0.000,0.000
253,2,1,1,0,1.000,4.233,0.620,1.000,1.283,0.720,0.000,0.000
99,2,1,1,1,1.000,2.267,42.000,1.000,1.117,50.400,1.167,0.360
99,1,1,1,1,1.000,2.267,37.800,1.000,1.000,67.200,1.517,0.450
99,1,1,1,1,1.000,2.267,42.000,1.000,1.050,67.200,1.517,0.580
99,1,1,1,1,1.000,1.767,37.800,1.000,1.000,67.200,0.933,0.580
99,2,1,1,1,1.000,1.933,42.000,1.000,1.000,54.600,1.517,0.360
99,2,1,1,1,1.000,1.933,50.400,1.000,1.000,50.400,0.933,0.360
99,2,1,1,1,1.000,1.933,37.800,1.000,1.050,50.400,0.933,0.450
99,2,1,1,1,1.000,2.267,50.400,1.000,1.050,54.600,0.933,0.580
99,1,1,1,1,1.000,1.933,42.000,1.000,1.050,67.200,1.167,0.450
448,3,1,1,1,1.000,2.300,0.350,1.000,1.100,0.380,1.667,0.480
448,2,1,1,1,1.000,2.300,0.350,1.000,1.033,0.450,2.167,0.780
448,2,1,1,1,1.000,2.300,0.310,1.000,0.983,0.420,2.167,0.600
448,3,1,1,1,1.000,1.767,0.310,1.000,0.983,0.420,1.333,0.780
448,2,1,1,1,1.000,1.950,0.350,1.000,0.983,0.400,2.167,0.480
448,3,1,1,1,1.000,1.950,0.310,1.000,1.033,0.350,1.333,0.600
448,3,1,1,1,1.000,1.950,0.420,1.000,0.983,0.450,1.333,0.480
448,3,1,1,1,1.000,2.300,0.420,1.000,1.033,0.460,1.333,0.780
448,2,1,1,1,1.000,1.950,0.350,1.000,1.033,0.450,1.667,0.600
695,3,1,1,1,1.000,2.133,0.850,1.000,0.833,0.880,1.667,0.650
695,2,1,1,1,1.000,1.633,0.640,1.000,0.883,0.740,2.167,0.520
695,3,1,1,1,1.000,2.133,0.640,1.000,0.950,0.760,1.333,0.520
695,2,1,1,1,1.000,1.800,0.640,1.000,0.950,0.760,2.167,0.840
695,3,1,1,1,1.000,1.800,0.710,1.000,0.950,0.780,1.333,0.840
