ID,CHOICE,AV_TRAIN,AV_SM,AV_CAR,TRAIN_ASC_1,logt(TRAIN_TT)_1,logt(TRAIN_TT) x ga_1,logt(TRAIN_CO)_1,logt(TRAIN_CO) x ga_1,logt(TRAIN_CO) x purpose_1,logt(TRAIN_CO) x purpose_2,logt(TRAIN_CO) x age_1,logt(TRAIN_CO) x age_2,logt(TRAIN_CO) x age_3,logt(TRAIN_CO) x age_4,logt(TRAIN_HE)_1,SM_ASC_1,SM_ASC x ga_1,SM_ASC x age_1,SM_ASC x age_2,SM_ASC x age_3,SM_ASC x age_4,logt(SM_TT)_1,logt(SM_CO)_1,logt(SM_CO) x ga_1,logt(SM_CO) x purpose_1,logt(SM_CO) x purpose_2,CAR_TT_1,CAR_TT x ga_1,CAR_TT x age_1,CAR_TT x age_2,CAR_TT x age_3,CAR_TT x age_4,CAR_TT x purpose_1,CAR_TT x purpose_2,logt(CAR_CO)_1,logt(CAR_CO) x age_1,logt(CAR_CO) x age_2,logt(CAR_CO) x age_3,logt(CAR_CO) x age_4,logt(CAR_CO) x purpose_1,logt(CAR_CO) x purpose_2
3,2,1,1,1,1.000,0.676,0.676,0.278,0.278,0.278,0.000,0.000,0.278,0.000,0.000,0.405,1.000,1.000,0.000,1.000,0.000,0.000,0.394,0.300,0.300,0.300,0.000,1.750,1.750,0.000,1.750,0.000,0.000,1.750,0.000,0.336,0.000,0.336,0.000,0.000,0.336,0.000
3,2,1,1,1,1.000,0.676,0.676,0.255,0.255,0.255,0.000,0.000,0.255,0.000,0.000,0.405,1.000,1.000,0.000,1.000,0.000,0.000,0.348,0.322,0.322,0.322,0.000,2.267,2.267,0.000,2.267,0.000,0.000,2.267,0.000,0.405,0.000,0.405,0.000,0.000,0.405,0.000
3,2,1,1,1,1.000,0.676,0.676,0.278,0.278,0.278,0.000,0.000,0.278,0.000,0.000,1.099,1.000,1.000,0.000,1.000,0.000,0.000,0.372,0.336,0.336,0.336,0.000,2.267,2.267,0.000,2.267,0.000,0.000,2.267,0.000,0.501,0.000,0.501,0.000,0.000,0.501,0.000
3,2,1,1,1,1.000,0.578,0.578,0.255,0.255,0.255,0.000,0.000,0.255,0.000,0.000,0.693,1.000,1.000,0.000,1.000,0.000,0.000,0.348,0.322,0.322,0.322,0.000,1.400,1.400,0.000,1.400,0.000,0.000,1.400,0.000,0.501,0.000,0.501,0.000,0.000,0.501,0.000
3,2,1,1,1,1.000,0.615,0.615,0.278,0.278,0.278,0.000,0.000,0.278,0.000,0.000,0.405,1.000,1.000,0.000,1.000,0.000,0.000,0.348,0.307,0.307,0.307,0.000,2.267,2.267,0.000,2.267,0.000,0.000,2.267,0.000,0.336,0.000,0.336,0.000,0.000,0.336,0.000
3,2,1,1,1,1.000,0.615,0.615,0.322,0.322,0.322,0.000,0.000,0.322,0.000,0.000,0.693,1.000,1.000,0.000,1.000,0.000,0.000,0.348,0.351,0.351,0.351,0.000,1.400,1.400,0.000,1.400,0.000,0.000,1.400,0.000,0.336,0.000,0.336,0.000,0.000,0.336,0.000
3,2,1,1,1,1.000,0.615,0.615,0.255,0.255,0.255,0.000,0.000,0.255,0.000,0.000,0.405,1.000,1.000,0.000,1.000,0.000,0.000,0.372,0.278,0.278,0.278,0.000,1.400,1.400,0.000,1.400,0.000,0.000,1.400,0.000,0.405,0.000,0.405,0.000,0.000,0.405,0.000
3,2,1,1,1,1.000,0.615,0.615,0.278,0.278,0.278,0.000,0.000,0.278,0.000,0.000,0.693,1.000,1.000,0.000,1.000,0.000,0.000,0.372,0.336,0.336,0.336,0.000,1.750,1.750,0.000,1.750,0.000,0.000,1.750,0.000,0.405,0.000,0.405,0.000,0.000,0.405,0.000
3,2,1,1,1,1.000,0.676,0.676,0.322,0.322,0.322,0.000,0.000,0.322,0.000,0.000,0.405,1.000,1.000,0.000,1.000,0.000,0.000,0.372,0.351,0.351,0.351,0.000,1.400,1.400,0.000,1.400,0.000,0.000,1.400,0.000,0.501,0.000,0.501,0.000,0.000,0.501,0.000
253,2,1,1,0,1.000,1.519,1.519,0.554,0.554,0.554,0.000,0.000,0.554,0.000,0.000,1.099,1.000,1.000,0.000,1.000,0.000,0.000,0.882,0.599,0.599,0.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
