ID,CHOICE,AV_TRAIN,AV_SM,AV_CAR,logt(TRAIN_TT) x ga_1,TRAIN_ASC_1,logt(TRAIN_CO)_1,logt(TRAIN_CO)_1,logt(TRAIN_CO) x purpose_1,logt(TRAIN_CO) x purpose_2,logt(TRAIN_CO) x ga_1,TRAIN_CO_1,logt(TRAIN_CO) x age_1,logt(TRAIN_CO) x age_2,logt(TRAIN_CO) x age_3,logt(TRAIN_CO) x age_4,TRAIN_CO x purpose_1,TRAIN_CO x purpose_2,logt(TRAIN_HE)_1,logt(SM_CO) x ga_1,logt(SM_CO) x purpose_1,logt(SM_CO) x purpose_2,logt(SM_CO)_1,logt(SM_TT)_1,SM_CO_1,SM_ASC x age_1,SM_ASC x age_2,SM_ASC x age_3,SM_ASC x age_4,SM_CO x purpose_1,SM_CO x purpose_2,logt(CAR_CO)_1,CAR_TT x ga_1,logt(CAR_TT) x purpose_1,logt(CAR_TT) x purpose_2,logt(CAR_CO) x age_1,logt(CAR_CO) x age_2,logt(CAR_CO) x age_3,logt(CAR_CO) x age_4,CAR_CO x purpose_1,CAR_CO x purpose_2,CAR_TT x age_1,CAR_TT x age_2,CAR_TT x age_3,CAR_TT x age_4
3,2,1,1,1,0.676,1.000,0.278,0.278,0.278,0.000,0.278,0.320,0.000,0.278,0.000,0.000,0.320,0.000,0.405,0.300,0.300,0.000,0.300,0.394,0.350,0.000,1.000,0.000,0.000,0.350,0.000,0.336,1.750,1.012,0.000,0.000,0.336,0.000,0.000,0.400,0.000,0.000,1.750,0.000,0.000
3,2,1,1,1,0.676,1.000,0.255,0.255,0.255,0.000,0.255,0.290,0.000,0.255,0.000,0.000,0.290,0.000,0.405,0.322,0.322,0.000,0.322,0.348,0.380,0.000,1.000,0.000,0.000,0.380,0.000,0.405,2.267,1.184,0.000,0.000,0.405,0.000,0.000,0.500,0.000,0.000,2.267,0.000,0.000
3,2,1,1,1,0.676,1.000,0.278,0.278,0.278,0.000,0.278,0.320,0.000,0.278,0.000,0.000,0.320,0.000,1.099,0.336,0.336,0.000,0.336,0.372,0.400,0.000,1.000,0.000,0.000,0.400,0.000,0.501,2.267,1.184,0.000,0.000,0.501,0.000,0.000,0.650,0.000,0.000,2.267,0.000,0.000
3,2,1,1,1,0.578,1.000,0.255,0.255,0.255,0.000,0.255,0.290,0.000,0.255,0.000,0.000,0.290,0.000,0.693,0.322,0.322,0.000,0.322,0.348,0.380,0.000,1.000,0.000,0.000,0.380,0.000,0.501,1.400,0.875,0.000,0.000,0.501,0.000,0.000,0.650,0.000,0.000,1.400,0.000,0.000
3,2,1,1,1,0.615,1.000,0.278,0.278,0.278,0.000,0.278,0.320,0.000,0.278,0.000,0.000,0.320,0.000,0.405,0.307,0.307,0.000,0.307,0.348,0.360,0.000,1.000,0.000,0.000,0.360,0.000,0.336,2.267,1.184,0.000,0.000,0.336,0.000,0.000,0.400,0.000,0.000,2.267,0.000,0.000
3,2,1,1,1,0.615,1.000,0.322,0.322,0.322,0.000,0.322,0.380,0.000,0.322,0.000,0.000,0.380,0.000,0.693,0.351,0.351,0.000,0.351,0.348,0.420,0.000,1.000,0.000,0.000,0.420,0.000,0.336,1.400,0.875,0.000,0.000,0.336,0.000,0.000,0.400,0.000,0.000,1.400,0.000,0.000
3,2,1,1,1,0.615,1.000,0.255,0.255,0.255,0.000,0.255,0.290,0.000,0.255,0.000,0.000,0.290,0.000,0.405,0.278,0.278,0.000,0.278,0.372,0.320,0.000,1.000,0.000,0.000,0.320,0.000,0.405,1.400,0.875,0.000,0.000,0.405,0.000,0.000,0.500,0.000,0.000,1.400,0.000,0.000
3,2,1,1,1,0.615,1.000,0.278,0.278,0.278,0.000,0.278,0.320,0.000,0.278,0.000,0.000,0.320,0.000,0.693,0.336,0.336,0.000,0.336,0.372,0.400,0.000,1.000,0.000,0.000,0.400,0.000,0.405,1.750,1.012,0.000,0.000,0.405,0.000,0.000,0.500,0.000,0.000,1.750,0.000,0.000
3,2,1,1,1,0.676,1.000,0.322,0.322,0.322,0.000,0.322,0.380,0.000,0.322,0.000,0.000,0.380,0.000,0.405,0.351,0.351,0.000,0.351,0.372,0.420,0.000,1.000,0.000,0.000,0.420,0.000,0.501,1.400,0.875,0.000,0.000,0.501,0.000,0.000,0.650,0.000,0.000,1.400,0.000,0.000
253,2,1,1,0,1.519,1.000,0.554,0.554,0.554,0.000,0.554,0.740,0.000,0.554,0.000,0.000,0.740,0.000,1.099,0.599,0.599,0.000,0.599,0.882,0.820,0.000,1.000,0.000,0.000,0.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
253,2,1,1,0,1.443,1.000,0.554,0.554,0.554,0.000,0.554,0.740,0.000,0.554,0.000,0.000,0.740,0.000,0.405,0.588,0.588,0.000,0.588,0.826,0.800,0.000,1.000,0.000,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
253,2,1,1,0,1.655,1.000,0.554,0.554,0.554,0.000,0.554,0.740,0.000,0.554,0.000,0.000,0.740,0.000,0.693,0.688,0.688,0.000,0.688,0.949,0.990,0.000,1.000,0.000,0.000,0.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
253,2,1,1,0,1.443,1.000,0.482,0.482,0.482,0.000,0.482,0.620,0.000,0.482,0.000,0.000,0.620,0.000,0.405,0.621,0.621,0.000,0.621,0.882,0.860,0.000,1.000,0.000,0.000,0.860,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
253,2,1,1,0,1.655,1.000,0.445,0.445,0.445,0.000,0.445,0.560,0.000,0.445,0.000,0.000,0.560,0.000,0.693,0.495,0.495,0.000,0.495,0.882,0.640,0.000,1.000,0.000,0.000,0.640,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
253,1,1,1,0,1.519,1.000,0.445,0.445,0.445,0.000,0.445,0.560,0.000,0.445,0.000,0.000,0.560,0.000,1.099,0.588,0.588,0.000,0.588,0.826,0.800,0.000,1.000,0.000,0.000,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
253,2,1,1,0,1.443,1.000,0.554,0.554,0.554,0.000,0.554,0.740,0.000,0.554,0.000,0.000,0.740,0.000,1.099,0.688,0.688,0.000,0.688,0.949,0.990,0.000,1.000,0.000,0.000,0.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
253,1,1,1,0,1.443,1.000,0.445,0.445,0.445,0.000,0.445,0.560,0.000,0.445,0.000,0.000,0.560,0.000,0.405,0.507,0.507,0.000,0.507,0.949,0.660,0.000,1.000,0.000,0.000,0.660,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
253,2,1,1,0,1.655,1.000,0.482,0.482,0.482,0.000,0.482,0.620,0.000,0.482,0.000,0.000,0.620,0.000,0.693,0.542,0.542,0.000,0.542,0.826,0.720,0.000,1.000,0.000,0.000,0.720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
99,2,1,1,1,0.000,1.000,3.761,3.761,3.761,0.000,0.000,42.000,0.000,0.000,3.761,0.000,42.000,0.000,0.405,0.000,3.940,0.000,3.940,0.750,50.400,0.000,0.000,1.000,0.000,50.400,0.000,0.307,0.000,0.773,0.000,0.000,0.000,0.307,0.000,0.360,0.000,0.000,0.000,1.167,0.000
99,1,1,1,1,0.000,1.000,3.658,3.658,3.658,0.000,0.000,37.800,0.000,0.000,3.658,0.000,37.800,0.000,0.405,0.000,4.222,0.000,4.222,0.693,67.200,0.000,0.000,1.000,0.000,67.200,0.000,0.372,0.000,0.923,0.000,0.000,0.000,0.372,0.000,0.450,0.000,0.000,0.000,1.517,0.000
99,1,1,1,1,0.000,1.000,3.761,3.761,3.761,0.000,0.000,42.000,0.000,0.000,3.761,0.000,42.000,0.000,1.099,0.000,4.222,0.000,4.222,0.718,67.200,0.000,0.000,1.000,0.000,67.200,0.000,0.457,0.000,0.923,0.000,0.000,0.000,0.457,0.000,0.580,0.000,0.000,0.000,1.517,0.000
99,1,1,1,1,0.000,1.000,3.658,3.658,3.658,0.000,0.000,37.800,0.000,0.000,3.658,0.000,37.800,0.000,0.693,0.000,4.222,0.000,4.222,0.693,67.200,0.000,0.000,1.000,0.000,67.200,0.000,0.457,0.000,0.659,0.000,0.000,0.000,0.457,0.000,0.580,0.000,0.000,0.000,0.933,0.000
99,2,1,1,1,0.000,1.000,3.761,3.761,3.761,0.000,0.000,42.000,0.000,0.000,3.761,0.000,42.000,0.000,0.405,0.000,4.018,0.000,4.018,0.693,54.600,0.000,0.000,1.000,0.000,54.600,0.000,0.307,0.000,0.923,0.000,0.000,0.000,0.307,0.000,0.360,0.000,0.000,0.000,1.517,0.000
99,2,1,1,1,0.000,1.000,3.940,3.940,3.940,0.000,0.000,50.400,0.000,0.000,3.940,0.000,50.400,0.000,0.693,0.000,3.940,0.000,3.940,0.693,50.400,0.000,0.000,1.000,0.000,50.400,0.000,0.307,0.000,0.659,0.000,0.000,0.000,0.307,0.000,0.360,0.000,0.000,0.000,0.933,0.000
99,2,1,1,1,0.000,1.000,3.658,3.658,3.658,0.000,0.000,37.800,0.000,0.000,3.658,0.000,37.800,0.000,0.405,0.000,3.940,0.000,3.940,0.718,50.400,0.000,0.000,1.000,0.000,50.400,0.000,0.372,0.000,0.659,0.000,0.000,0.000,0.372,0.000,0.450,0.000,0.000,0.000,0.933,0.000
99,2,1,1,1,0.000,1.000,3.940,3.940,3.940,0.000,0.000,50.400,0.000,0.000,3.940,0.000,50.400,0.000,0.405,0.000,4.018,0.000,4.018,0.718,54.600,0.000,0.000,1.000,0.000,54.600,0.000,0.457,0.000,0.659,0.000,0.000,0.000,0.457,0.000,0.580,0.000,0.000,0.000,0.933,0.000
