ID,CHOICE,AGE,GA,PURPOSE,WHO,LUGGAGE,INCOME,TRAIN_AV,SM_AV,CAR_AV,TRAIN_TT,SM_TT,CAR_TT,TRAIN_CO,SM_CO,CAR_CO,TRAIN_HE,SM_HE
1,2,3,0,1,1,0,2,1,1,1,112,63,117,48,52,65,120,20
1,2,3,0,1,1,0,2,1,1,1,103,60,117,48,49,84,30,10
1,2,3,0,1,1,0,2,1,1,1,130,67,117,48,58,52,60,30
1,2,3,0,1,1,0,2,1,1,1,103,63,72,40,52,52,30,20
1,2,3,0,1,1,0,2,1,1,1,130,63,90,36,42,84,60,20
1,2,3,0,1,1,0,2,1,1,1,112,60,90,36,49,52,120,10
1,2,3,0,1,1,0,2,1,1,1,103,67,72,48,58,65,120,10
1,1,3,0,1,1,0,2,1,1,1,103,67,90,36,43,65,30,30
1,2,3,0,1,1,0,2,1,1,1,130,60,72,40,46,65,60,10
2,2,2,0,1,1,1,1,1,1,0,184,76,0,62,70,0,120,20
2,2,2,0,1,1,1,1,1,1,0,170,70,0,62,66,0,30,10
2,2,2,0,1,1,1,1,1,1,0,213,84,0,62,82,0,60,30
2,2,2,0,1,1,1,1,1,1,0,170,76,0,52,72,0,30,20
2,2,2,0,1,1,1,1,1,1,0,213,76,0,47,53,0,60,20
2,2,2,0,1,1,1,1,1,1,0,184,70,0,47,66,0,120,10
2,2,2,0,1,1,1,1,1,1,0,170,84,0,62,82,0,120,10
2,2,2,0,1,1,1,1,1,1,0,170,84,0,47,57,0,30,30
2,2,2,0,1,1,1,1,1,1,0,213,70,0,52,62,0,60,10
3,2,2,0,1,1,1,2,1,1,1,58,29,105,32,35,40,30,10
3,2,2,0,1,1,1,2,1,1,1,58,25,136,29,38,50,30,20
3,2,2,0,1,1,1,2,1,1,1,58,27,136,32,40,65,120,10
3,2,2,0,1,1,1,2,1,1,1,47,25,84,29,38,65,60,30
3,2,2,0,1,1,1,2,1,1,1,51,25,136,32,36,40,30,30
3,2,2,0,1,1,1,2,1,1,1,51,25,84,38,42,40,60,20
3,2,2,0,1,1,1,2,1,1,1,51,27,84,29,32,50,30,10
3,2,2,0,1,1,1,2,1,1,1,51,27,105,32,40,50,60,30
3,2,2,0,1,1,1,2,1,1,1,58,27,84,38,42,65,30,30
4,2,2,0,1,1,1,3,1,1,1,138,65,135,40,45,80,30,10
4,2,2,0,1,1,1,3,1,1,1,138,61,175,40,52,130,120,10
4,2,2,0,1,1,1,3,1,1,1,138,58,175,36,49,100,30,20
4,2,2,0,1,1,1,3,1,1,1,105,58,108,36,49,130,60,30
4,2,2,0,1,1,1,3,1,1,1,116,58,175,40,46,80,30,30
4,2,2,0,1,1,1,3,1,1,1,116,61,108,36,42,100,30,10
4,2,2,0,1,1,1,3,1,1,1,116,58,108,48,50,80,60,20
4,2,2,0,1,1,1,3,1,1,1,138,61,108,48,52,130,30,30
4,2,2,0,1,1,1,3,1,1,1,116,61,135,40,52,100,60,30
